,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
906,WAFD,134,12/29/1988,05/19/2022,2.9925373134328357,0.24,185.71428571428567,4,1988,34
907,UCBI,32,09/12/2014,06/14/2022,3.0,0.21,66.66666666666669,1,2014,20
908,UMBF,81,06/06/2002,06/09/2022,3.0,0.37,15.625,2,2002,33
909,SGC,7,11/13/2020,05/23/2022,3.0,0.14,20.0,1,2020,23
910,ADM,36,08/20/2013,05/17/2022,2.9166666666666665,0.4,26.315789473684205,1,2013,9
911,LBC,18,02/02/2018,05/05/2022,2.8333333333333335,0.12,283.33333333333337,1,2018,4
912,MBINO,12,09/12/2019,06/14/2022,2.75,0.375,109.30193618244431,1,2019,3
913,TCPC,41,06/13/2012,06/15/2022,2.926829268292683,0.3,14.285714285714292,1,2012,10
914,PLUS,1,12/13/2012,12/13/2012,0.0,2.5,0.0,0,2012,10
915,SOHON,3,06/28/2019,12/30/2019,2.0,0.515625,23.28742557922675,0,2019,3
916,OXSQL,21,06/13/2017,06/14/2022,2.857142857142857,0.40625,15.384613199817963,1,2017,5
917,RRBI,10,03/13/2020,06/10/2022,2.7,0.07,16.666666666666686,1,2020,2
918,FUNC,16,07/13/2018,04/14/2022,3.0,0.15,44.44444444444446,1,2018,30
919,USLM,34,05/28/2014,05/26/2022,2.911764705882353,0.2,3862.9629629629626,1,2014,27
920,NTIC,5,05/04/2021,05/03/2022,3.0,0.07,7.692307692307708,0,2021,23
921,SLRC,52,03/16/2010,06/22/2022,2.826923076923077,0.136667,76.47058823529412,1,2010,12
922,GIGM,1,04/01/2002,04/01/2002,0.0,2.0,0.0,0,2002,20
923,AEIS,6,02/19/2021,05/20/2022,2.5,0.1,0.0,0,2021,1
924,FNHC,32,01/31/2013,11/13/2020,3.0,0.09,50.0,1,2013,22
925,FRST,43,02/09/2012,05/12/2022,2.86046511627907,0.1,375.0,1,2012,10
926,QCRH,26,03/16/2016,06/16/2022,3.0,0.06,25.0,1,2016,20
927,EQR,37,06/20/2013,06/24/2022,2.918918918918919,0.625,595.2380952380952,1,2013,9
928,GLAD,234,12/26/2001,06/21/2022,1.0512820512820513,0.0675,16.66666666666667,3,2001,21
929,RUTH,1,05/18/2022,05/18/2022,3.0,0.14,16.666666666666686,0,2022,9
930,FAT,5,06/11/2021,05/13/2022,2.6,0.13,0.0,0,2021,4
931,HAFC,35,12/05/2013,05/06/2022,3.0,0.22,66.66666666666669,1,2013,19
932,BJRI,10,11/10/2017,03/09/2020,2.8,0.13,9.090909090909093,1,2017,5
933,QIWI,3,06/21/2021,12/03/2021,2.6666666666666665,0.3,36.363636363636374,0,2021,9
934,BBY,37,06/07/2013,06/13/2022,2.918918918918919,0.88,217.39130434782606,1,2013,9
935,FMNB,96,12/09/1998,06/09/2022,2.9375,0.16,100.0,3,1998,24
936,HMNF,1,05/16/2022,05/16/2022,3.0,0.06,0.0,0,2022,24
937,MLCO,26,04/02/2014,02/28/2020,2.6923076923076925,0.16512,3418.0327868852464,1,2014,8
938,FARM,91,10/17/1988,01/26/2011,2.934065934065934,0.06,20.0,3,1988,34
939,VIRT,28,08/28/2015,05/31/2022,2.892857142857143,0.24,0.0,1,2015,7
940,METC,2,02/28/2022,05/31/2022,1.5,0.1129,-1.4210854715202004e-14,0,2022,0
941,ADSK,61,03/05/1990,03/22/2005,3.0,0.015,20.0,2,1990,33
942,ETN,10,04/13/2020,05/12/2022,2.6,0.81,6.578947368421055,1,2020,9
943,HBT,10,02/07/2020,05/09/2022,2.7,0.16,6.666666666666671,1,2020,2
944,BPOP,27,12/18/2015,06/01/2022,3.0,0.55,66.66666666666669,1,2015,34
945,AVT,35,11/29/2013,06/07/2022,3.0,0.26,9.090909090909093,1,2013,22
946,ASTL,2,02/25/2022,06/24/2022,2.0,0.05,0.0,0,2022,0
947,PLAY,6,09/24/2018,01/09/2020,2.6666666666666665,0.16,6.666666666666671,1,2018,4
948,DMRC,9,05/09/2012,05/01/2014,2.6666666666666665,0.11,0.0,0,2012,10
949,LMAT,46,03/18/2011,05/16/2022,2.9130434782608696,0.125,27.272727272727295,1,2011,11
950,VLYPO,20,09/14/2017,06/14/2022,2.85,0.34375,55.17225813441189,1,2017,5
