,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
154,HCA,5,06/15/2021,06/15/2022,3.0,$0.56,16.666666666666686
155,PNFP,34,02/05/2014,05/05/2022,3.0,$0.22,50.0
156,GAIN,217,08/19/2005,06/21/2022,0.9354838709677419,$0.075,133.33333333333337
157,CGBD,20,09/28/2017,06/29/2022,3.0,$0.40,54.054054054054035
158,SGA,4,10/07/2021,06/10/2022,3.0,$0.20,312.5
159,NNBR,25,08/28/2013,09/06/2019,3.0,$0.07,16.666666666666686
160,ACGLO,19,03/14/2018,09/14/2022,3.0,$0.340625,0.0
161,STBA,119,09/25/1992,05/04/2022,3.0168067226890756,$0.30,16.66666666666667
162,CHRW,99,03/10/1998,06/02/2022,2.9696969696969697,$0.55,50.0
163,BOKF,68,08/10/2005,05/10/2022,3.0,$0.53,263.1578947368421
164,MRTN,47,11/24/2010,06/15/2022,3.021276595744681,$0.06,3000.0
165,ADBE,65,03/22/1989,03/24/2005,2.9846153846153847,$0.0125,33.33333333333334
166,FORR,27,06/04/2012,12/11/2018,3.0,$0.20,7.142857142857139
167,LRFC,69,03/12/2014,03/20/2020,1.0869565217391304,$0.0833,31.908104658583255
168,OPINL,8,02/11/2021,11/14/2022,3.0,$0.3984375,0.0
169,CSWC,25,06/16/2016,06/14/2022,3.0,$0.63,217.85714285714283
170,PBHC,86,12/27/2000,04/21/2022,3.011627906976744,$0.09,66.66666666666669
171,MEOH,80,12/13/2002,06/15/2022,2.9625,$0.145,400.0
172,WTBA,44,08/04/2011,05/10/2022,3.0,$0.25,40.0
173,NEWT,30,06/25/2015,06/16/2022,2.9,$0.75,438.0
174,CHSCM,30,03/13/2015,06/16/2022,3.0,$0.421875,0.0
175,AY,23,11/28/2016,05/27/2022,3.0,$0.44,53.37423312883436
176,AAP,35,12/18/2013,06/16/2022,3.0,$1.50,316.6666666666667
177,DUK,35,11/13/2013,05/12/2022,3.0,$0.985,4.269662921348328
178,GSM,1,09/04/2018,09/04/2018,3.0,$0.06,0.0
179,VTR,37,09/11/2013,06/30/2022,2.918918918918919,$0.45,174.4075829383886
180,METCL,3,04/14/2022,10/13/2022,3.0,$0.5625,0.0
181,STZ,28,08/07/2015,05/04/2022,3.0,$0.80,42.30769230769229
182,GL,12,10/03/2019,07/01/2022,3.0,$0.207,9.302325581395365
183,BPYPM,3,11/30/2021,05/31/2022,3.0,$0.390625,42.87673738112656
184,ALL,35,11/26/2013,06/02/2022,3.0285714285714285,$0.85,50.0
185,BHFAN,5,06/09/2021,06/09/2022,3.0,$0.3359375,0.0
186,MFIN,1,05/13/2022,05/13/2022,2.0,$0.08,0.0
187,MRVL,40,09/11/2012,07/07/2022,3.025,$0.06,0.0
188,T,35,10/08/2013,04/13/2022,3.0,$0.278,2.2222222222222143
189,MGYR,2,02/09/2022,05/04/2022,3.0,$0.03,0.0
190,USAU,11,08/29/2005,02/27/2008,2.909090909090909,$0.06,20.0
191,PRIM,55,12/19/2008,06/29/2022,3.0,$0.06,37.5
192,OXLCL,6,09/14/2021,12/14/2022,3.0,$0.421875,0.0
193,UIHC,37,03/18/2013,03/08/2022,3.0,$0.06,33.33333333333334
194,LMNR,47,09/02/2010,04/04/2022,3.021276595744681,$0.075,20.0
195,BA,26,11/06/2013,02/13/2020,3.0,$2.055,50.51546391752578
196,PNW,35,10/31/2013,04/29/2022,3.0,$0.85,6.187050359712231
197,PKOH,6,02/11/2021,05/05/2022,3.0,$0.125,0.0
198,HWCPZ,7,11/30/2020,05/31/2022,3.0,$0.390625,0.0
199,CMCSA,57,07/07/2008,07/05/2022,3.017543859649123,$0.27,44.44444444444443
200,AAPL,39,11/07/2012,05/06/2022,3.0,$0.23,15.873015873015873
201,MHLD,41,09/30/2008,09/28/2018,3.0,$0.05,22.22222222222223
202,FDX,35,12/10/2013,06/24/2022,3.0,$1.15,60.0
203,ITW,35,12/27/2013,06/29/2022,3.0,$1.22,28.205128205128204
204,VTRS,4,08/23/2021,05/23/2022,3.0,$0.12,9.090909090909093
205,ABTX,9,05/28/2020,05/27/2022,3.0,$0.14,20.0
206,OCCIO,20,06/22/2021,01/23/2023,1.0,$0.1276042,0.0
207,SOHOB,13,12/28/2016,12/30/2019,3.0,$0.50,136.85457129322594
208,RAIL,22,05/23/2012,08/15/2017,3.0,$0.09,50.0
209,TCBIO,4,08/31/2021,05/31/2022,3.0,$0.359375,0.0
210,OBNK,16,09/13/2018,05/16/2022,2.9375,$0.15,184.61538461538458
211,VSEC,136,01/26/1989,07/12/2022,2.9779411764705883,$0.10,900.0000000000001
212,LPLA,40,08/13/2012,06/08/2022,3.025,$0.25,40.74074074074073
213,NEWTZ,3,10/14/2021,04/13/2022,3.0,$0.34375,0.0
214,CIZN,90,03/13/2000,06/15/2022,3.0,$0.24,25.0
215,MSBI,23,11/16/2016,05/12/2022,3.0,$0.29,11.111111111111114
216,FAST,49,11/22/2010,04/26/2022,2.857142857142857,$0.31,138.0952380952381
217,BWMX,8,08/11/2020,05/11/2022,3.0,$0.4582,227.033878773911
218,PAGP,33,04/30/2014,04/28/2022,3.0,$0.2175,166.34382566585964
219,ESCA,43,12/20/2011,05/27/2022,3.0,$0.15,14.285714285714278
220,LMT,36,11/27/2013,05/31/2022,2.9166666666666665,$2.80,15.652173913043484
221,GASS,12,05/11/2006,02/26/2009,3.0833333333333335,$0.1875,0.0
222,LRCX,32,09/08/2014,06/14/2022,3.0,$1.50,120.00000000000003
223,EQIX,30,05/22/2015,05/17/2022,2.8666666666666667,$3.10,547.9289940828403
224,OPOF,88,08/28/2000,05/31/2022,3.0,$0.13,25.0
225,GD,35,01/15/2014,06/30/2022,2.9714285714285715,$1.26,11.290322580645167
226,SO,35,10/31/2013,05/13/2022,3.0,$0.68,3.571428571428555
227,FGBI,29,06/18/2015,06/23/2022,3.0,$0.16,0.0
228,CTAS,6,02/11/2021,05/13/2022,3.0,$0.95,26.66666666666667
229,WNEB,72,08/06/2004,05/10/2022,3.0,$0.06,500.0
230,PHM,36,09/20/2013,06/09/2022,2.9444444444444446,$0.15,60.0
231,CHY,223,09/16/2003,06/10/2022,1.0134529147982063,$0.10,86.30024610336343
232,MRCC,38,03/15/2013,06/14/2022,3.0,$0.25,2.941176470588232
233,PFE,35,11/06/2013,05/12/2022,3.0285714285714285,$0.40,417.63157894736844
234,NAVI,32,09/10/2014,06/02/2022,3.0,$0.16,6.666666666666671
235,SPOK,63,02/20/2007,05/24/2022,2.9523809523809526,$0.3125,400.0
236,JSM,1,06/13/2022,06/13/2022,3.0,$0.375,0.0
237,PPBI,13,04/30/2019,05/05/2022,3.0,$0.33,13.63636363636364
238,RILYT,6,07/14/2021,10/13/2022,3.0,$0.375,0.0
239,DRE,35,11/12/2013,05/13/2022,3.0,$0.28,347.36842105263156
240,BOOM,43,09/28/2009,03/30/2020,3.0,$0.125,525.0
241,PRPH,1,05/24/2022,05/24/2022,3.0,$0.30,0.0
242,SBAC,11,11/20/2019,05/18/2022,3.0,$0.71,25.675675675675677
243,FLIC,61,04/03/2007,03/15/2022,2.9836065573770494,$0.20,20.0
244,ITIC,126,02/25/1991,06/14/2022,3.0,$0.46,3913.0434782608695
245,NKE,35,12/12/2013,06/03/2022,3.0285714285714285,$0.305,16.666666666666686
